"sampleID","taxid","pctseqs","Kingdom","Phylum","Class","Order","Family","Genus","Species","Shannon","diversity_group"
"lt-078-01",821,0.923872076175851,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroidetes-Bacteroidales-Bacteroidaceae-Phocaeicola","Phocaeicola vulgatus",0.40267875277425,"Low Diversity"
"lt-051-01",1283,0.903442342244649,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Firmicutes-Bacillales-Staphylococcaceae-Staphylococcus","Staphylococcus haemolyticus",0.414578853445901,"Low Diversity"
"lt-011-01",1354,0.962670580772059,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus hirae",0.270640607083781,"Low Diversity"
"lt-014-01",1352,0.963666364869183,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.186716535991037,"Low Diversity"
"lt-029-01",1352,0.977985710729141,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.133006198205542,"Low Diversity"
"lt-032-01",1352,0.98164530376895,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.109782552409358,"Low Diversity"
"lt-041-01",1352,0.924863231334155,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.266727933215918,"Low Diversity"
"lt-048-01",1352,0.930713480484798,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.350739307723126,"Low Diversity"
"lt-052-01",1352,0.957354148419733,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.272375587769373,"Low Diversity"
"lt-056-01",1352,0.992831114058031,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.0518565952777806,"Low Diversity"
"lt-070-01",1352,0.902893374537332,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.386366132147359,"Low Diversity"
"lt-074-01",1352,0.99634218084007,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.0261015177563413,"Low Diversity"
"lt-075-01",1352,0.936814927439457,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.276254742318503,"Low Diversity"
"lt-079-01",1352,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0,"Low Diversity"
"lt-080-01",1352,0.995560713307846,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.0336371375485522,"Low Diversity"
"lt-082-01",1352,0.999073143451992,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.00739932585139509,"Low Diversity"
"lt-085-01",1353,0.908027222613198,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus gallinarum",0.408620326866681,"Low Diversity"
"lt-100-01",1352,0.982894096172276,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.104513986025019,"Low Diversity"
"lt-107-01",1352,0.995973516964773,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Firmicutes-Lactobacillales-Enterococcaceae-Enterococcus","Enterococcus faecium",0.0278776946437589,"Low Diversity"
"lt-065-01",47715,0.999642287553032,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Firmicutes-Lactobacillales-Lactobacillaceae-Lacticaseibacillus","Lacticaseibacillus rhamnosus",0.00319637614151696,"Low Diversity"
"lt-006-01",1358,0.963614348717375,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Firmicutes-Lactobacillales-Streptococcaceae-Lactococcus","Lactococcus lactis",0.160170050992982,"Low Diversity"
"lt-068-01",573,0.9273192,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Proteobacteria-Enterobacterales-Enterobacteriaceae-Klebsiella","Klebsiella pneumoniae",0.264521285697056,"Low Diversity"
"lt-077-01",287,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Proteobacteria-Pseudomonadales-Pseudomonadaceae-Pseudomonas","Pseudomonas aeruginosa",0,"Low Diversity"
