"","0","1","p","test"
"n","82","25","",""
"Basiliximab = 1 (%)","53 ( 64.6) ","17 ( 68.0) "," 0.945",""
"Mycophenolate = 1 (%)","65 ( 79.3) ","21 ( 84.0) "," 0.815",""
"Steroid = 1 (%)","82 (100.0) ","25 (100.0) ","    NA",""
"Systemic Vancomycin = 1 (%)","45 ( 54.9) ","18 ( 72.0) "," 0.197",""
"Tacrolimus = 1 (%)","81 ( 98.8) ","25 (100.0) "," 1.000",""
"Cefepime = 1 (%)","30 ( 36.6) ","12 ( 48.0) "," 0.430",""
"Metronidazole = 1 (%)","36 ( 43.9) ","13 ( 52.0) "," 0.630",""
"Piperacillin/Tazobactam = 1 (%)","70 ( 85.4) ","23 ( 92.0) "," 0.601",""
"Rifaximin = 1 (%)","41 ( 50.0) ","12 ( 48.0) "," 1.000",""
"Ceftriaxone = 1 (%)","18 ( 22.0) "," 8 ( 32.0) "," 0.448",""
"Ciprofloxacin = 1 (%)","16 ( 19.5) "," 4 ( 16.0) "," 0.919",""
"Gentamicin = 1 (%)"," 1 (  1.2) "," 1 (  4.0) "," 0.956",""
"Tobramicin = 1 (%)"," 4 (  4.9) "," 3 ( 12.0) "," 0.424",""
"Daptomycin = 1 (%)"," 1 (  1.2) "," 3 ( 12.0) "," 0.059",""
"Meropenem = 1 (%)"," 4 (  4.9) "," 1 (  4.0) "," 1.000",""
"Oral Vancomycin = 1 (%)"," 2 (  2.4) "," 1 (  4.0) "," 1.000",""
