"","Low Diversity","Medium Diversity","High Diversity","p","test"
"n","40","40","27","",""
"Basiliximab = 1 (%)","31 ( 77.5) ","25 ( 62.5) ","14 ( 51.9) "," 0.085",""
"Mycophenolate = 1 (%)","33 ( 82.5) ","33 ( 82.5) ","20 ( 74.1) "," 0.635",""
"Steroid = 1 (%)","40 (100.0) ","40 (100.0) ","27 (100.0) ","    NA",""
"Systemic Vancomycin = 1 (%)","33 ( 82.5) ","17 ( 42.5) ","13 ( 48.1) "," 0.001",""
"Tacrolimus = 1 (%)","40 (100.0) ","39 ( 97.5) ","27 (100.0) "," 0.429",""
"Cefepime = 1 (%)","27 ( 67.5) ","10 ( 25.0) "," 5 ( 18.5) ","<0.001",""
"Metronidazole = 1 (%)","29 ( 72.5) ","13 ( 32.5) "," 7 ( 25.9) ","<0.001",""
"Piperacillin/Tazobactam = 1 (%)","32 ( 80.0) ","37 ( 92.5) ","24 ( 88.9) "," 0.238",""
"Rifaximin = 1 (%)","30 ( 75.0) ","19 ( 47.5) "," 4 ( 14.8) ","<0.001",""
"Ceftriaxone = 1 (%)","19 ( 47.5) "," 5 ( 12.5) "," 2 (  7.4) ","<0.001",""
"Ciprofloxacin = 1 (%)","10 ( 25.0) "," 8 ( 20.0) "," 2 (  7.4) "," 0.187",""
"Gentamicin = 1 (%)"," 2 (  5.0) "," 0 (  0.0) "," 0 (  0.0) "," 0.181",""
"Tobramicin = 1 (%)"," 3 (  7.5) "," 3 (  7.5) "," 1 (  3.7) "," 0.788",""
"Daptomycin = 1 (%)"," 3 (  7.5) "," 1 (  2.5) "," 0 (  0.0) "," 0.248",""
"Meropenem = 1 (%)"," 4 ( 10.0) "," 0 (  0.0) "," 1 (  3.7) "," 0.102",""
"Oral Vancomycin = 1 (%)"," 1 (  2.5) "," 1 (  2.5) "," 1 (  3.7) "," 0.948",""
