"test"," ","Low Diversity","Medium Diversity","High Diversity","p","p.adj"
"chi.sq","n","40","40","27","",""
"chi.sq","Basiliximab = 1 (%)","31 ( 77.5) ","25 ( 62.5) ","14 ( 51.9) "," 0.085","0.374"
"chi.sq","Mycophenolate = 1 (%)","33 ( 82.5) ","33 ( 82.5) ","20 ( 74.1) "," 0.635","0.776111111111111"
"chi.sq","Steroid = 1 (%)","40 (100.0) ","40 (100.0) ","27 (100.0) ","    NA",""
"chi.sq","Systemic Vancomycin = 1 (%)","33 ( 82.5) ","17 ( 42.5) ","13 ( 48.1) "," 0.001","0.011"
"chi.sq","Tacrolimus = 1 (%)","40 (100.0) ","39 ( 97.5) ","27 (100.0) "," 0.429","0.589875"
"chi.sq","Cefepime = 1 (%)","27 ( 67.5) ","10 ( 25.0) "," 5 ( 18.5) ","<0.001",""
"chi.sq","Metronidazole = 1 (%)","29 ( 72.5) ","13 ( 32.5) "," 7 ( 25.9) ","<0.001",""
"chi.sq","Piperacillin/Tazobactam = 1 (%)","32 ( 80.0) ","37 ( 92.5) ","24 ( 88.9) "," 0.238","0.389714285714286"
"chi.sq","Rifaximin = 1 (%)","30 ( 75.0) ","19 ( 47.5) "," 4 ( 14.8) ","<0.001",""
"chi.sq","Ceftriaxone = 1 (%)","19 ( 47.5) "," 5 ( 12.5) "," 2 (  7.4) ","<0.001",""
"chi.sq","Ciprofloxacin = 1 (%)","10 ( 25.0) "," 8 ( 20.0) "," 2 (  7.4) "," 0.187","0.389714285714286"
"chi.sq","Gentamicin = 1 (%)"," 2 (  5.0) "," 0 (  0.0) "," 0 (  0.0) "," 0.181","0.389714285714286"
"chi.sq","Tobramicin = 1 (%)"," 3 (  7.5) "," 3 (  7.5) "," 1 (  3.7) "," 0.788","0.8668"
"chi.sq","Daptomycin = 1 (%)"," 3 (  7.5) "," 1 (  2.5) "," 0 (  0.0) "," 0.248","0.389714285714286"
"chi.sq","Meropenem = 1 (%)"," 4 ( 10.0) "," 0 (  0.0) "," 1 (  3.7) "," 0.102","0.374"
"chi.sq","Oral Vancomycin = 1 (%)"," 1 (  2.5) "," 1 (  2.5) "," 1 (  3.7) "," 0.948","0.948"
