"","Original","Validation","p","test"
"n","107","35","",""
"Basiliximab = 1 (%)"," 70 ( 65.4) ","22 ( 62.9) "," 0.943",""
"Mycophenolate = 1 (%)"," 86 ( 80.4) ","30 ( 85.7) "," 0.647",""
"Steroid = 1 (%)","107 (100.0) ","35 (100.0) ","    NA",""
"Systemic Vancomycin = 1 (%)"," 63 ( 58.9) ","24 ( 68.6) "," 0.411",""
"Tacrolimus = 1 (%)","106 ( 99.1) ","35 (100.0) "," 1.000",""
"Cefepime = 1 (%)"," 42 ( 39.3) ","14 ( 40.0) "," 1.000",""
"Metronidazole = 1 (%)"," 49 ( 45.8) ","20 ( 57.1) "," 0.331",""
"Piperacillin/Tazobactam = 1 (%)"," 93 ( 86.9) ","28 ( 80.0) "," 0.468",""
"Rifaximin = 1 (%)"," 53 ( 49.5) ","21 ( 60.0) "," 0.378",""
"Ceftriaxone = 1 (%)"," 26 ( 24.3) "," 9 ( 25.7) "," 1.000",""
"Ciprofloxacin = 1 (%)"," 20 ( 18.7) "," 8 ( 22.9) "," 0.770",""
"Gentamicin = 1 (%)","  2 (  1.9) "," 1 (  2.9) "," 1.000",""
"Tobramicin = 1 (%)","  7 (  6.5) ","10 ( 28.6) "," 0.001",""
"Daptomycin = 1 (%)","  4 (  3.7) "," 2 (  5.7) "," 0.984",""
"Meropenem = 1 (%)","  5 (  4.7) "," 1 (  2.9) "," 1.000",""
"Oral Vancomycin = 1 (%)","  3 (  2.8) "," 1 (  2.9) "," 1.000",""
