"test"," ","Original","Validation","p","p.adj"
"chi.sq","n","  107","   35","",""
"chi.sq","race (%)","  ","   "," 0.032","0.291333333333333"
"chi.sq","   American Indian or Alaska Native","    1 (  0.9) ","    1 (  2.9) ","",""
"chi.sq","   Asian/Mideast Indian","    8 (  7.5) ","    0 (  0.0) ","",""
"chi.sq","   Black/African-American","   11 ( 10.3) ","    3 (  8.6) ","",""
"chi.sq","   More than one Race","   10 (  9.3) ","    1 (  2.9) ","",""
"chi.sq","   Other Pacific Islander","    0 (  0.0) ","    1 (  2.9) ","",""
"chi.sq","   Patient Declined","    5 (  4.7) ","    0 (  0.0) ","",""
"chi.sq","   Unknown","    2 (  1.9) ","    4 ( 11.4) ","",""
"chi.sq","   White","   70 ( 65.4) ","   25 ( 71.4) ","",""
"chi.sq","sex = Male (%)","   60 ( 56.1) ","   19 ( 54.3) "," 1.000","1"
"nonnorm","age (median [IQR])","56.00 [41.50, 64.00]","55.00 [43.00, 62.00]"," 0.581","0.818"
"nonnorm","meld_transplant (median [IQR])","29.00 [19.00, 33.00]","28.00 [21.50, 32.50]"," 0.818","0.818"
"chi.sq","Alcoholic Hepatitis = 1 (%)","    8 (  7.5) ","    1 (  2.9) "," 0.566","1"
"chi.sq","Alcoholic Cirrhosis = 1 (%)","   48 ( 44.9) ","   14 ( 40.0) "," 0.759","1"
"chi.sq","NAFLD/NASH = 1 (%)","   16 ( 15.0) ","    1 (  2.9) "," 0.107","0.50825"
"chi.sq","Primary Sclerosing Cholangitis = 1 (%)","    6 (  5.6) ","    0 (  0.0) "," 0.343","1"
"chi.sq","Acute Viral Hepatitis = 1 (%)","    4 (  3.7) ","    0 (  0.0) "," 0.567","1"
"chi.sq","Chronic Hepatitis B = 1 (%)","    1 (  0.9) ","    0 (  0.0) "," 1.000","1"
"chi.sq","Chronic Hepatitis C = 1 (%)","    4 (  3.7) ","    2 (  5.7) "," 0.984","1"
"chi.sq","Autoimmune = 1 (%)","    5 (  4.7) ","    0 (  0.0) "," 0.439","1"
"chi.sq","Wilson's Disease = 1 (%)","    3 (  2.8) ","    0 (  0.0) "," 0.746","1"
"chi.sq","Alpha-1 Antitrypsin = 0 (%)","  107 (100.0) ","   35 (100.0) ","    NA",""
"chi.sq","Hemachromatosis = 1 (%)","    1 (  0.9) ","    0 (  0.0) "," 1.000","1"
"chi.sq","Drug Induced Liver Injury or Toxin = 1 (%)","    1 (  0.9) ","    0 (  0.0) "," 1.000","1"
"chi.sq","Budd Chiari = 0 (%)","  107 (100.0) ","   35 (100.0) ","    NA",""
"chi.sq","Cryptogenic = 1 (%)","    5 (  4.7) ","    0 (  0.0) "," 0.439","1"
"chi.sq","Malignancy = 1 (%)","   23 ( 21.5) ","    1 (  2.9) "," 0.022","0.291333333333333"
"chi.sq","Other = 1 (%)","   13 ( 12.1) ","    5 ( 14.3) "," 0.970","1"
"chi.sq","Dialysis = 1 (%)","   31 ( 29.0) ","   15 ( 42.9) "," 0.188","0.7144"
"chi.sq","Pressers = 1 (%)","   11 ( 10.3) ","    9 ( 25.7) "," 0.046","0.291333333333333"
"chi.sq","Mechanical Ventilation = 1 (%)","    7 (  6.5) ","    3 (  8.6) "," 0.979","1"
