"","0","1","p","test"
"n","   82","   25","",""
"race (%)","   ","   "," 0.307",""
"   American Indian or Alaska Native","    1 (  1.2) ","    0 (  0.0) ","",""
"   Asian/Mideast Indian","    6 (  7.3) ","    2 (  8.0) ","",""
"   Black/African-American","    9 ( 11.0) ","    2 (  8.0) ","",""
"   More than one Race","    8 (  9.8) ","    2 (  8.0) ","",""
"   Patient Declined","    4 (  4.9) ","    1 (  4.0) ","",""
"   Unknown","    0 (  0.0) ","    2 (  8.0) ","",""
"   White","   54 ( 65.9) ","   16 ( 64.0) ","",""
"sex = Male (%)","   44 ( 53.7) ","   16 ( 64.0) "," 0.495",""
"age (median [IQR])","55.00 [39.50, 63.00]","59.00 [46.00, 68.00]"," 0.177","nonnorm"
"meld_transplant (median [IQR])","28.00 [19.00, 33.00]","30.00 [19.00, 33.00]"," 0.609","nonnorm"
"Alcoholic Hepatitis = 1 (%)","    6 (  7.3) ","    2 (  8.0) "," 1.000",""
"Alcoholic Cirrhosis = 1 (%)","   40 ( 48.8) ","    8 ( 32.0) "," 0.212",""
"NAFLD/NASH = 1 (%)","   10 ( 12.2) ","    6 ( 24.0) "," 0.259",""
"Primary Sclerosing Cholangitis = 1 (%)","    6 (  7.3) ","    0 (  0.0) "," 0.370",""
"Acute Viral Hepatitis = 1 (%)","    4 (  4.9) ","    0 (  0.0) "," 0.601",""
"Chronic Hepatitis B = 1 (%)","    0 (  0.0) ","    1 (  4.0) "," 0.527",""
"Chronic Hepatitis C = 1 (%)","    4 (  4.9) ","    0 (  0.0) "," 0.601",""
"Autoimmune = 1 (%)","    5 (  6.1) ","    0 (  0.0) "," 0.469",""
"Wilson's Disease = 1 (%)","    2 (  2.4) ","    1 (  4.0) "," 1.000",""
"Alpha-1 Antitrypsin = 0 (%)","   82 (100.0) ","   25 (100.0) ","    NA",""
"Hemachromatosis = 1 (%)","    0 (  0.0) ","    1 (  4.0) "," 0.527",""
"Drug Induced Liver Injury or Toxin = 1 (%)","    1 (  1.2) ","    0 (  0.0) "," 1.000",""
"Budd Chiari = 0 (%)","   82 (100.0) ","   25 (100.0) ","    NA",""
"Cryptogenic = 1 (%)","    4 (  4.9) ","    1 (  4.0) "," 1.000",""
"Malignancy = 1 (%)","   17 ( 20.7) ","    6 ( 24.0) "," 0.944",""
"Other = 1 (%)","    8 (  9.8) ","    5 ( 20.0) "," 0.306",""
"Dialysis = 1 (%)","   22 ( 26.8) ","    9 ( 36.0) "," 0.527",""
"Pressers = 1 (%)","    6 (  7.3) ","    5 ( 20.0) "," 0.147",""
"Mechanical Ventilation = 1 (%)","    5 (  6.1) ","    2 (  8.0) "," 1.000",""
